#x	Mode 1: z	Mode 2: z	Mode 3: z	Mode 4: z	Mode 5: z	Mode 6: z	Mode 7: z	Mode 8: z	Mode 9: z	Mode 10: z	Mode 11: z	Mode 12: z	Mode 13: z	Mode 14: z	Mode 15: z	Mode 16: z	Mode 17: z	Mode 18: z	Mode 19: z	Mode 20: z
0.32667000	0.03191000	-0.11555000	-0.13436000	0.03240000	0.04510000	-0.05802000	0.01955000	0.02493000	-0.03778000	0.01553000	0.01586000	-0.02785000	0.00000000	0.01339000	0.01072000	-0.02189000	0.01204000	0.00000000	0.00736000	-0.01786000
0.33333000	0.03311000	-0.11794000	-0.13245000	0.02579000	0.05017000	-0.05671000	0.01318000	0.03009000	-0.03671000	0.00929000	0.02117000	-0.02706000	0.00000000	0.00730000	0.01616000	-0.02140000	0.00613000	0.00000000	0.01293000	-0.01769000
0.34000000	0.03432000	-0.12025000	-0.13022000	0.01907000	0.05479000	-0.05463000	0.00657000	0.03452000	-0.03448000	0.00268000	0.02547000	-0.02472000	0.00000000	0.00072000	0.02033000	-0.01897000	-0.00042000	0.00000000	0.01698000	-0.01518000
0.34667000	0.03555000	-0.12247000	-0.12766000	0.01226000	0.05891000	-0.05183000	-0.00016000	0.03810000	-0.03116000	-0.00403000	0.02853000	-0.02094000	0.00000000	-0.00592000	0.02288000	-0.01479000	-0.00693000	0.00000000	0.01902000	-0.01065000
0.35333000	0.03680000	-0.12460000	-0.12480000	0.00539000	0.06251000	-0.04834000	-0.00689000	0.04075000	-0.02686000	-0.01059000	0.03023000	-0.01597000	0.00000000	-0.01215000	0.02362000	-0.00927000	-0.01271000	0.00000000	0.01882000	-0.00471000
0.36000000	0.03806000	-0.12664000	-0.12162000	-0.00148000	0.06554000	-0.04421000	-0.01350000	0.04239000	-0.02171000	-0.01673000	0.03047000	-0.01007000	0.00000000	-0.01756000	0.02249000	-0.00290000	-0.01718000	0.00000000	0.01640000	0.00185000
0.36667000	0.03934000	-0.12858000	-0.11815000	-0.00834000	0.06799000	-0.03949000	-0.01986000	0.04299000	-0.01588000	-0.02221000	0.02925000	-0.00359000	0.00000000	-0.02176000	0.01957000	0.00374000	-0.01984000	0.00000000	0.01204000	0.00817000
0.37333000	0.04064000	-0.13042000	-0.11438000	-0.01514000	0.06982000	-0.03425000	-0.02585000	0.04253000	-0.00954000	-0.02681000	0.02662000	0.00309000	0.00000000	-0.02449000	0.01510000	0.01003000	-0.02045000	0.00000000	0.00627000	0.01340000
0.38000000	0.04195000	-0.13216000	-0.11033000	-0.02185000	0.07104000	-0.02855000	-0.03136000	0.04103000	-0.00290000	-0.03036000	0.02271000	0.00960000	0.00000000	-0.02556000	0.00944000	0.01541000	-0.01892000	0.00000000	-0.00025000	0.01687000
0.38667000	0.04328000	-0.13379000	-0.10601000	-0.02843000	0.07161000	-0.02247000	-0.03629000	0.03851000	0.00383000	-0.03271000	0.01770000	0.01555000	0.00000000	-0.02488000	0.00303000	0.01938000	-0.01541000	0.00000000	-0.00674000	0.01808000
0.39333000	0.04462000	-0.13531000	-0.10142000	-0.03485000	0.07155000	-0.01609000	-0.04056000	0.03505000	0.01043000	-0.03377000	0.01185000	0.02061000	0.00000000	-0.02251000	-0.00362000	0.02158000	-0.01030000	0.00000000	-0.01243000	0.01691000
