#x	Mode 1: z	Mode 2: z	Mode 3: z	Mode 4: z	Mode 5: z	Mode 6: z	Mode 7: z	Mode 8: z	Mode 9: z	Mode 10: z	Mode 11: z	Mode 12: z	Mode 13: z	Mode 14: z	Mode 15: z	Mode 16: z	Mode 17: z	Mode 18: z	Mode 19: z	Mode 20: z
0.06234000	0.00122000	0.00844000	0.02319000	0.03414000	0.00000000	0.04083000	0.04587000	0.04927000	0.05106000	0.00000000	0.05148000	0.00000000	0.05031000	0.04801000	0.00000000	0.04470000	0.04038000	0.00000000	0.03552000	0.03004000
0.06857000	0.00147000	0.01012000	0.02757000	0.04018000	0.00000000	0.04750000	0.05264000	0.05565000	0.05659000	0.00000000	0.05579000	0.00000000	0.05309000	0.04904000	0.00000000	0.04386000	0.03766000	0.00000000	0.03098000	0.02384000
0.07481000	0.00174000	0.01193000	0.03221000	0.04647000	0.00000000	0.05426000	0.05927000	0.06157000	0.06132000	0.00000000	0.05893000	0.00000000	0.05435000	0.04827000	0.00000000	0.04103000	0.03287000	0.00000000	0.02442000	0.01585000
0.08104000	0.00204000	0.01386000	0.03711000	0.05296000	0.00000000	0.06105000	0.06565000	0.06691000	0.06509000	0.00000000	0.06076000	0.00000000	0.05400000	0.04569000	0.00000000	0.03629000	0.02624000	0.00000000	0.01626000	0.00666000
0.08727000	0.00236000	0.01591000	0.04223000	0.05960000	0.00000000	0.06778000	0.07166000	0.07153000	0.06779000	0.00000000	0.06119000	0.00000000	0.05202000	0.04135000	0.00000000	0.02986000	0.01816000	0.00000000	0.00706000	-0.00297000
0.09351000	0.00270000	0.01809000	0.04755000	0.06634000	0.00000000	0.07436000	0.07721000	0.07532000	0.06931000	0.00000000	0.06016000	0.00000000	0.04842000	0.03541000	0.00000000	0.02202000	0.00907000	0.00000000	-0.00256000	-0.01228000
0.09974000	0.00307000	0.02037000	0.05306000	0.07313000	0.00000000	0.08072000	0.08219000	0.07819000	0.06958000	0.00000000	0.05766000	0.00000000	0.04329000	0.02808000	0.00000000	0.01315000	-0.00048000	0.00000000	-0.01192000	-0.02050000
0.10597000	0.00345000	0.02276000	0.05871000	0.07991000	0.00000000	0.08679000	0.08654000	0.08006000	0.06858000	0.00000000	0.05374000	0.00000000	0.03681000	0.01967000	0.00000000	0.00369000	-0.00994000	0.00000000	-0.02036000	-0.02698000
0.11221000	0.00386000	0.02525000	0.06450000	0.08665000	0.00000000	0.09250000	0.09016000	0.08088000	0.06629000	0.00000000	0.04849000	0.00000000	0.02915000	0.01050000	0.00000000	-0.00589000	-0.01873000	0.00000000	-0.02731000	-0.03118000
0.11844000	0.00429000	0.02785000	0.07040000	0.09328000	0.00000000	0.09779000	0.09301000	0.08061000	0.06275000	0.00000000	0.04201000	0.00000000	0.02058000	0.00096000	0.00000000	-0.01512000	-0.02633000	0.00000000	-0.03225000	-0.03275000
0.12468000	0.00474000	0.03053000	0.07638000	0.09978000	0.00000000	0.10260000	0.09502000	0.07923000	0.05800000	0.00000000	0.03448000	0.00000000	0.01137000	-0.00857000	0.00000000	-0.02351000	-0.03229000	0.00000000	-0.03486000	-0.03159000
0.13091000	0.00522000	0.03330000	0.08242000	0.10608000	0.00000000	0.10688000	0.09615000	0.07675000	0.05214000	0.00000000	0.02608000	0.00000000	0.00183000	-0.01768000	0.00000000	-0.03066000	-0.03624000	0.00000000	-0.03495000	-0.02778000
0.13714000	0.00571000	0.03616000	0.08851000	0.11216000	0.00000000	0.11058000	0.09638000	0.07319000	0.04526000	0.00000000	0.01704000	0.00000000	-0.00772000	-0.02600000	0.00000000	-0.03620000	-0.03795000	0.00000000	-0.03250000	-0.02164000
0.14338000	0.00622000	0.03909000	0.09461000	0.11797000	0.00000000	0.11365000	0.09568000	0.06859000	0.03751000	0.00000000	0.00759000	0.00000000	-0.01696000	-0.03317000	0.00000000	-0.03986000	-0.03732000	0.00000000	-0.02772000	-0.01370000
0.14961000	0.00676000	0.04210000	0.10071000	0.12347000	0.00000000	0.11606000	0.09406000	0.06301000	0.02904000	0.00000000	-0.00201000	0.00000000	-0.02558000	-0.03891000	0.00000000	-0.04144000	-0.03439000	0.00000000	-0.02093000	-0.00461000
0.15584000	0.00732000	0.04518000	0.10678000	0.12864000	0.00000000	0.11778000	0.09151000	0.05653000	0.02002000	0.00000000	-0.01152000	0.00000000	-0.03328000	-0.04296000	0.00000000	-0.04087000	-0.02934000	0.00000000	-0.01263000	0.00487000
0.16208000	0.00789000	0.04832000	0.11281000	0.13343000	0.00000000	0.11879000	0.08806000	0.04924000	0.01062000	0.00000000	-0.02068000	0.00000000	-0.03980000	-0.04517000	0.00000000	-0.03818000	-0.02249000	0.00000000	-0.00343000	0.01394000
0.16831000	0.00849000	0.05152000	0.11877000	0.13781000	0.00000000	0.11906000	0.08372000	0.04124000	0.00104000	0.00000000	-0.02923000	0.00000000	-0.04492000	-0.04543000	0.00000000	-0.03351000	-0.01426000	0.00000000	0.00603000	0.02186000
0.17455000	0.00911000	0.05477000	0.12465000	0.14175000	0.00000000	0.11859000	0.07855000	0.03265000	-0.00852000	0.00000000	-0.03696000	0.00000000	-0.04846000	-0.04374000	0.00000000	-0.02711000	-0.00514000	0.00000000	0.01506000	0.02796000
0.18078000	0.00974000	0.05808000	0.13042000	0.14524000	0.00000000	0.11736000	0.07258000	0.02360000	-0.01786000	0.00000000	-0.04364000	0.00000000	-0.05032000	-0.04018000	0.00000000	-0.01931000	0.00429000	0.00000000	0.02301000	0.03174000
0.18701000	0.01040000	0.06143000	0.13607000	0.14824000	0.00000000	0.11538000	0.06588000	0.01422000	-0.02680000	0.00000000	-0.04911000	0.00000000	-0.05041000	-0.03490000	0.00000000	-0.01051000	0.01346000	0.00000000	0.02931000	0.03288000
0.19325000	0.01108000	0.06482000	0.14158000	0.15074000	0.00000000	0.11266000	0.05851000	0.00467000	-0.03514000	0.00000000	-0.05321000	0.00000000	-0.04875000	-0.02811000	0.00000000	-0.00116000	0.02181000	0.00000000	0.03351000	0.03128000
0.19948000	0.01177000	0.06825000	0.14693000	0.15271000	0.00000000	0.10921000	0.05055000	-0.00493000	-0.04272000	0.00000000	-0.05584000	0.00000000	-0.04539000	-0.02013000	0.00000000	0.00825000	0.02883000	0.00000000	0.03530000	0.02708000
0.20571000	0.01249000	0.07171000	0.15210000	0.15414000	0.00000000	0.10504000	0.04208000	-0.01441000	-0.04937000	0.00000000	-0.05692000	0.00000000	-0.04046000	-0.01128000	0.00000000	0.01724000	0.03408000	0.00000000	0.03456000	0.02063000
0.21195000	0.01322000	0.07520000	0.15708000	0.15502000	0.00000000	0.10018000	0.03320000	-0.02365000	-0.05496000	0.00000000	-0.05642000	0.00000000	-0.03411000	-0.00195000	0.00000000	0.02534000	0.03724000	0.00000000	0.03133000	0.01246000
0.21818000	0.01397000	0.07872000	0.16185000	0.15534000	0.00000000	0.09466000	0.02398000	-0.03248000	-0.05938000	0.00000000	-0.05437000	0.00000000	-0.02658000	0.00747000	0.00000000	0.03214000	0.03813000	0.00000000	0.02586000	0.00326000
0.22442000	0.01474000	0.08225000	0.16640000	0.15508000	0.00000000	0.08851000	0.01454000	-0.04079000	-0.06253000	0.00000000	-0.05082000	0.00000000	-0.01812000	0.01658000	0.00000000	0.03728000	0.03668000	0.00000000	0.01853000	-0.00622000
0.23065000	0.01553000	0.08579000	0.17072000	0.15426000	0.00000000	0.08178000	0.00497000	-0.04844000	-0.06434000	0.00000000	-0.04586000	0.00000000	-0.00903000	0.02497000	0.00000000	0.04051000	0.03299000	0.00000000	0.00987000	-0.01518000
0.23688000	0.01634000	0.08935000	0.17478000	0.15285000	0.00000000	0.07451000	-0.00462000	-0.05531000	-0.06478000	0.00000000	-0.03964000	0.00000000	0.00037000	0.03231000	0.00000000	0.04164000	0.02727000	0.00000000	0.00050000	-0.02287000
0.24312000	0.01716000	0.09291000	0.17857000	0.15087000	0.00000000	0.06674000	-0.01414000	-0.06130000	-0.06385000	0.00000000	-0.03232000	0.00000000	0.00977000	0.03826000	0.00000000	0.04063000	0.01989000	0.00000000	-0.00890000	-0.02867000
0.24935000	0.01801000	0.09647000	0.18209000	0.14832000	0.00000000	0.05853000	-0.02348000	-0.06631000	-0.06155000	0.00000000	-0.02411000	0.00000000	0.01883000	0.04259000	0.00000000	0.03753000	0.01128000	0.00000000	-0.01767000	-0.03207000
0.25558000	0.01887000	0.10003000	0.18533000	0.14520000	0.00000000	0.04993000	-0.03254000	-0.07028000	-0.05795000	0.00000000	-0.01524000	0.00000000	0.02723000	0.04509000	0.00000000	0.03249000	0.00199000	0.00000000	-0.02516000	-0.03281000
0.26182000	0.01975000	0.10358000	0.18826000	0.14153000	0.00000000	0.04101000	-0.04122000	-0.07313000	-0.05312000	0.00000000	-0.00594000	0.00000000	0.03470000	0.04568000	0.00000000	0.02578000	-0.00743000	0.00000000	-0.03085000	-0.03082000
0.26805000	0.02064000	0.10712000	0.19089000	0.13731000	0.00000000	0.03183000	-0.04942000	-0.07483000	-0.04715000	0.00000000	0.00352000	0.00000000	0.04096000	0.04431000	0.00000000	0.01774000	-0.01639000	0.00000000	-0.03432000	-0.02626000
0.27429000	0.02156000	0.11065000	0.19320000	0.13256000	0.00000000	0.02244000	-0.05707000	-0.07534000	-0.04019000	0.00000000	0.01288000	0.00000000	0.04580000	0.04106000	0.00000000	0.00879000	-0.02434000	0.00000000	-0.03533000	-0.01952000
0.28052000	0.02249000	0.11416000	0.19518000	0.12730000	0.00000000	0.01293000	-0.06407000	-0.07467000	-0.03237000	0.00000000	0.02190000	0.00000000	0.04906000	0.03605000	0.00000000	-0.00062000	-0.03081000	0.00000000	-0.03381000	-0.01115000
0.28675000	0.02343000	0.11764000	0.19684000	0.12154000	0.00000000	0.00334000	-0.07035000	-0.07282000	-0.02387000	0.00000000	0.03031000	0.00000000	0.05062000	0.02951000	0.00000000	-0.01000000	-0.03539000	0.00000000	-0.02985000	-0.00186000
0.29299000	0.02440000	0.12109000	0.19815000	0.11531000	0.00000000	-0.00625000	-0.07584000	-0.06982000	-0.01485000	0.00000000	0.03789000	0.00000000	0.05043000	0.02171000	0.00000000	-0.01885000	-0.03780000	0.00000000	-0.02375000	0.00759000
0.29922000	0.02538000	0.12452000	0.19912000	0.10864000	0.00000000	-0.01578000	-0.08049000	-0.06572000	-0.00552000	0.00000000	0.04443000	0.00000000	0.04849000	0.01298000	0.00000000	-0.02674000	-0.03790000	0.00000000	-0.01594000	0.01641000
0.30545000	0.02637000	0.12791000	0.19974000	0.10154000	0.00000000	-0.02516000	-0.08424000	-0.06059000	0.00392000	0.00000000	0.04976000	0.00000000	0.04487000	0.00369000	0.00000000	-0.03325000	-0.03567000	0.00000000	-0.00699000	0.02386000
0.31169000	0.02739000	0.13126000	0.20000000	0.09404000	0.00000000	-0.03435000	-0.08705000	-0.05451000	0.01329000	0.00000000	0.05371000	0.00000000	0.03969000	-0.00575000	0.00000000	-0.03804000	-0.03126000	0.00000000	0.00246000	0.02932000
0.31792000	0.02842000	0.13457000	0.19991000	0.08618000	0.00000000	-0.04328000	-0.08889000	-0.04756000	0.02238000	0.00000000	0.05619000	0.00000000	0.03314000	-0.01494000	0.00000000	-0.04088000	-0.02493000	0.00000000	0.01174000	0.03235000
0.32416000	0.02946000	0.13783000	0.19946000	0.07799000	0.00000000	-0.05188000	-0.08974000	-0.03987000	0.03099000	0.00000000	0.05712000	0.00000000	0.02544000	-0.02350000	0.00000000	-0.04161000	-0.01708000	0.00000000	0.02017000	0.03268000
0.33039000	0.03052000	0.14104000	0.19865000	0.06949000	0.00000000	-0.06008000	-0.08960000	-0.03155000	0.03895000	0.00000000	0.05649000	0.00000000	0.01686000	-0.03105000	0.00000000	-0.04019000	-0.00818000	0.00000000	0.02715000	0.03030000
0.33662000	0.03160000	0.14420000	0.19747000	0.06072000	0.00000000	-0.06784000	-0.08846000	-0.02273000	0.04609000	0.00000000	0.05431000	0.00000000	0.00770000	-0.03728000	0.00000000	-0.03670000	0.00122000	0.00000000	0.03219000	0.02540000
0.34286000	0.03269000	0.14731000	0.19594000	0.05173000	0.00000000	-0.07510000	-0.08634000	-0.01356000	0.05225000	0.00000000	0.05063000	0.00000000	-0.00173000	-0.04192000	0.00000000	-0.03132000	0.01054000	0.00000000	0.03491000	0.01837000
0.34909000	0.03379000	0.15035000	0.19405000	0.04253000	0.00000000	-0.08180000	-0.08326000	-0.00417000	0.05731000	0.00000000	0.04556000	0.00000000	-0.01110000	-0.04477000	0.00000000	-0.02433000	0.01922000	0.00000000	0.03513000	0.00983000
0.35532000	0.03491000	0.15333000	0.19180000	0.03318000	0.00000000	-0.08791000	-0.07926000	0.00529000	0.06116000	0.00000000	0.03924000	0.00000000	-0.02009000	-0.04571000	0.00000000	-0.01608000	0.02672000	0.00000000	0.03282000	0.00046000
0.36156000	0.03605000	0.15624000	0.18919000	0.02371000	0.00000000	-0.09336000	-0.07438000	0.01466000	0.06371000	0.00000000	0.03184000	0.00000000	-0.02838000	-0.04470000	0.00000000	-0.00700000	0.03259000	0.00000000	0.02816000	-0.00894000
0.36779000	0.03720000	0.15908000	0.18624000	0.01416000	0.00000000	-0.09814000	-0.06867000	0.02381000	0.06492000	0.00000000	0.02357000	0.00000000	-0.03569000	-0.04178000	0.00000000	0.00243000	0.03646000	0.00000000	0.02147000	-0.01760000
0.37403000	0.03836000	0.16185000	0.18293000	0.00457000	0.00000000	-0.10219000	-0.06221000	0.03258000	0.06475000	0.00000000	0.01464000	0.00000000	-0.04176000	-0.03708000	0.00000000	0.01175000	0.03810000	0.00000000	0.01325000	-0.02480000
0.38026000	0.03954000	0.16455000	0.17929000	-0.00502000	0.00000000	-0.10550000	-0.05506000	0.04085000	0.06321000	0.00000000	0.00532000	0.00000000	-0.04638000	-0.03080000	0.00000000	0.02045000	0.03740000	0.00000000	0.00407000	-0.02993000
0.38649000	0.04073000	0.16716000	0.17531000	-0.01458000	0.00000000	-0.10804000	-0.04729000	0.04847000	0.06034000	0.00000000	-0.00415000	0.00000000	-0.04939000	-0.02320000	0.00000000	0.02810000	0.03441000	0.00000000	-0.00540000	-0.03257000
0.39273000	0.04194000	0.16970000	0.17100000	-0.02406000	0.00000000	-0.10980000	-0.03900000	0.05534000	0.05619000	0.00000000	-0.01350000	0.00000000	-0.05070000	-0.01461000	0.00000000	0.03431000	0.02932000	0.00000000	-0.01448000	-0.03251000
0.39896000	0.04316000	0.17215000	0.16637000	-0.03342000	0.00000000	-0.11075000	-0.03028000	0.06134000	0.05085000	0.00000000	-0.02249000	0.00000000	-0.05024000	-0.00540000	0.00000000	0.03874000	0.02242000	0.00000000	-0.02253000	-0.02973000
0.40519000	0.04439000	0.17451000	0.16143000	-0.04263000	0.00000000	-0.11090000	-0.02122000	0.06637000	0.04443000	0.00000000	-0.03085000	0.00000000	-0.04805000	0.00404000	0.00000000	0.04118000	0.01416000	0.00000000	-0.02895000	-0.02448000
0.41143000	0.04564000	0.17678000	0.15618000	-0.05165000	0.00000000	-0.11024000	-0.01193000	0.07037000	0.03708000	0.00000000	-0.03837000	0.00000000	-0.04419000	0.01331000	0.00000000	0.04150000	0.00503000	0.00000000	-0.03330000	-0.01720000
